index,context,target,output,domain
389,i love to travel.,i like gardening.,I wish I had more time to do the things I enjoy.,out_of_domain
390,i love to travel.,i like gardening.,I see a lot of amazing gardens when I travel around different places in the city.,out_of_domain
392,i have two children.,i sing in the shower.,What do you do to blow off steam?,out_of_domain
394,i prefer to listen to things more in the urban genre.,i like working with animals.,I like to listen to music when I am volunteering at the local animal shelter.,out_of_domain
395,i prefer to listen to things more in the urban genre.,i like working with animals.,I recently discovered that animals also enjoy music. The animals at the pound where I work always relax when I play music in the classical genre.,out_of_domain
396,i used to be very athletic.,the only beaches i have seen in this country are on the atlantic.,I like to jog on the beach.  There are nice ones on the Atlantic.,out_of_domain
397,i used to be very athletic.,the only beaches i have seen in this country are on the atlantic.,"I like a lot of athletic activities. Jogging, and I like to surf too, but the atlantic beaches don't have very high waves in this country. I haven't been to the west coast yet.",out_of_domain
399,i like fruit.,i have a weird hobby of hunting giant reptiles in remote locations !.,Some of the locations re very exotic and have delicious rare fruits in their trees.,out_of_domain
400,i like fruit.,i have a weird hobby of hunting giant reptiles in remote locations !.,I take fruit with me when I go hunting giant reptiles.,out_of_domain
401,i like fruit.,i have a weird hobby of hunting giant reptiles in remote locations !.,I feed fruit to reptiles.,out_of_domain
403,i like fruit.,i have a weird hobby of hunting giant reptiles in remote locations !.,I feed fruit to reptiles,out_of_domain
404,i like fruit.,i have a weird hobby of hunting giant reptiles in remote locations !.,I have an iguana that loves fruit.,out_of_domain
405,i work in a hospital.,i like trips to the ocean.,I don't have a lot of time off but when I do I go to the ocean.,out_of_domain
406,i work in a hospital.,i like trips to the ocean.,I would hate working in the medical world -- being homeless would be more enjoyable than that I think.,out_of_domain
408,i am an expert at making food.,i have went to school for dance.,I like the arts like making food and dancing.,out_of_domain
409,i am an expert at making food.,i have went to school for dance.,Making food is great but it wasn't making me money.  So I left and started attending dance school.,out_of_domain
410,i am an expert at making food.,i have went to school for dance.,I considered going to culinary school.,out_of_domain
411,jailhouse rock is such a great song.,i need to study harder and get better grades.,i listen to it so much it affects my studying.,out_of_domain
412,jailhouse rock is such a great song.,i need to study harder and get better grades.,I need to stop listening to songs like jailhouse rock and study harder.,out_of_domain
413,jailhouse rock is such a great song.,i need to study harder and get better grades.,I spend too much time listening to music.,out_of_domain
414,i hate overtime.,i excercise my right as a us citizen.,I fired all of my employees that worked too much.,out_of_domain
415,i hate overtime.,i excercise my right as a us citizen.,They have to pay you if you work overtime in the US.,out_of_domain
416,i hate overtime.,i excercise my right as a us citizen.,"I don't like it either, but you have rights to quit.",out_of_domain
417,i enjoy nature.,i am in a lot of debt.,But I also spend alot on things I don't need while in nature.,out_of_domain
418,i enjoy nature.,i am in a lot of debt.,i enjoy nature and I am in debt.,out_of_domain
419,i enjoy nature.,i am in a lot of debt.,I might wind up losing my house and living in a tent.,out_of_domain
420,i am still in love with my ex boyfriend.,people say i have a cute laugh.,I was in love years ago but he left me. I get hit on a lot because of my cute laugh though.,out_of_domain
422,i am still in love with my ex boyfriend.,people say i have a cute laugh.,My ex always liked the way I laughed.,out_of_domain
423,fictional books and personal writings are genres i enjoy reading.,i work in an organizational setting.,"When I have time off work, I read fiction books, and my favorite books are always well organized in their plots.",out_of_domain
424,fictional books and personal writings are genres i enjoy reading.,i work in an organizational setting.,I don't have that much time to read because of my work.,out_of_domain
425,fictional books and personal writings are genres i enjoy reading.,i work in an organizational setting.,I am an educated person who likes to read and works in an office.,out_of_domain
426,once a week i purchase a manicure.,seeing guys beat each other up on tv is awesome.,I am too tough for a manicure.  I prefer seeing guys fighting on television.,out_of_domain
427,once a week i purchase a manicure.,seeing guys beat each other up on tv is awesome.,"Must have to look good for your special daily regime, right?",out_of_domain
428,once a week i purchase a manicure.,seeing guys beat each other up on tv is awesome.,I don't always like girly things. I am also into UFC.,out_of_domain
429,i like the color red.,i talk very fast.,Ireallylikeblue.,out_of_domain
430,i visited europe in june.,i reside in a large metropolis.,I enjoyed my trip to Europe.  However I like my large city more.,out_of_domain
431,i visited europe in june.,i reside in a large metropolis.,I stayed in a small village.,out_of_domain
432,i visited europe in june.,i reside in a large metropolis.,Europe is completely different than where I live.  I live in a huge city.,out_of_domain
433,i enjoy camping in the wild.,my mom is a clothing designer and even has a line.,"I never went camping,  My mother never did those things because she was a fancy clothing designer.",out_of_domain
434,i enjoy camping in the wild.,my mom is a clothing designer and even has a line.,My mom could help with the camping clothes.,out_of_domain
435,i enjoy camping in the wild.,my mom is a clothing designer and even has a line.,I really like clothes made for outdoors,out_of_domain
436,i enjoy camping in the wild.,my mom is a clothing designer and even has a line.,I am the opposite of my mom.,out_of_domain
437,i enjoy camping in the wild.,my mom is a clothing designer and even has a line.,I never got to go camping as a child because my parents were too busy with their careers.,out_of_domain
438,i enjoy camping in the wild.,my mom is a clothing designer and even has a line.,I enjoy outdoors clothes more than the outdoors itself.,out_of_domain
439,i find pleasure in cooking.,i am a woman and enjoy the company of men.,"Me too, I like to cook on dates as well. Men find it really impressive, have you cooked for a man?",out_of_domain
440,i find pleasure in cooking.,i am a woman and enjoy the company of men.,Do you just cook mostly for yourself or do you like to get feedback from others too?,out_of_domain
441,i find pleasure in cooking.,i am a woman and enjoy the company of men.,I like to cook for my dates.,out_of_domain
442,i try to keep active.,i am a server on the weekends.,"That's cool, I like to bike to work to be more active, what do you do for work?",out_of_domain
443,i try to keep active.,i am a server on the weekends.,Keeping active is very important.  That is why on the weekends I work as a server since it keeps me moving.,out_of_domain
445,i love cars.,i do not like animals.,My sister brought her dirty dog in my car with us on the trip to the beach.,out_of_domain
446,i love cars.,i do not like animals.,I like them better than pets.,out_of_domain
448,i live with multiple people.,i enjoy taking long walks outside.,I have a lot of roommates too.  We like taking walks outside in the morning.,out_of_domain
449,i live with multiple people.,i enjoy taking long walks outside.,I have to go outside to take a break from my roommates.,out_of_domain
450,i reside on the outskirts of a city know as beantown.,i reside on a zoo in a awesome state.,That's really neat. I stay on the grounds of a zoo in a really nice state.,out_of_domain
451,i reside on the outskirts of a city know as beantown.,i reside on a zoo in a awesome state.,i prefer living near the wild,out_of_domain
452,i reside on the outskirts of a city know as beantown.,i reside on a zoo in a awesome state.,The zoo gets a lot of traffic from people visiting from beantown.,out_of_domain
453,i like to shake my butt.,i do not eat any animals or animal products like cheese.,I think I have a pretty healthy looking butt.,out_of_domain
454,i like to shake my butt.,i do not eat any animals or animal products like cheese.,I like to stay fit by shaking my but and eating no animal products.,out_of_domain
455,i like to shake my butt.,i do not eat any animals or animal products like cheese.,I avoid cheese because I think it makes my butt look big.,out_of_domain
457,i am trying to create my own startup company in the gaming industry.,my wife recently got laid off from her human resources job.,I have to supplement my household income.,out_of_domain
458,i enjoy the fashion and beauty industries.,i like to save chicken babies in vinegar.,I also am into taxidermy as a hobby.,out_of_domain
459,i enjoy the fashion and beauty industries.,i like to save chicken babies in vinegar.,"Food, fashion and beauty seem to all permeate for many in an active or hectic kind of lifestyle.",out_of_domain
460,i enjoy the fashion and beauty industries.,i like to save chicken babies in vinegar.,Another great use of vinegar is getting stains out of even the most fashionable dresses. I her the fashion industry uses a vinegar solution when they're doing a show.,out_of_domain
461,i enjoy games on a court.,i like to go shopping.,I also have a few other hobbies.,out_of_domain
462,i enjoy games on a court.,i like to go shopping.,Games on court usually have big indoor arenas. In these arenas are a lot of different shops.,out_of_domain
464,i love my clan.,i enjoy making things artistically.,What type of clan is it again? The group that makes pottery and stuff? Do you like those things?,out_of_domain
465,i love my clan.,i enjoy making things artistically.,My favorite part about making things is to gift those things to people in my clan.,out_of_domain
466,i love my clan.,i enjoy making things artistically.,I love working with others but not if they are a burden to my creativity.,out_of_domain
467,i help take care of pets.,my canines stay at my residence alone when i travel to see family.,My dog cannot be left alone.,out_of_domain
468,i help take care of pets.,my canines stay at my residence alone when i travel to see family.,I have two dogs. They stay home alone when I travel.,out_of_domain
469,i help take care of pets.,my canines stay at my residence alone when i travel to see family.,"I however, don't need help caring for my pets.",out_of_domain
470,i like the group the rolling stones.,i have 3 kids.,I had my babies listen to them in their crib,out_of_domain
471,i am a rock star on the strings.,i reside on a zoo in a awesome state.,My favorite part about being in the zoo is playing my guitar strings for the animals. They seem to really like it!,out_of_domain
472,i am a rock star on the strings.,i reside on a zoo in a awesome state.,I love playing the guitar.  I play it at the zoo where I live.,out_of_domain
473,i am a rock star on the strings.,i reside on a zoo in a awesome state.,I don't go around much.  I stay in a zoo.,out_of_domain
474,i enjoy cooking for people.,i can play piano.,I wish I enjoyed cooking. My talents are more musical.,out_of_domain
475,i hope to travel the world one day.,i have two pet dogs.,I want to travel with animals,out_of_domain
476,i am in a lot of debt.,i enjoy nature.,I am in a lot of debt because I spend a lot of money traveling to different nature spots but I can't help it because I enjoy nature.,out_of_domain
477,i am in a lot of debt.,i enjoy nature.,I enjoy nature a lot and it’s also free which makes it very helpful to cutting spending on activities.,out_of_domain
478,i am in a lot of debt.,i enjoy nature.,"i hope you can recover from it. enjoying nature, something i happen to do, might help.",out_of_domain
479,i enjoy shopping.,i have two tattoos.,I like to show off my tattoos while out shopping.,out_of_domain
480,i enjoy shopping.,i have two tattoos.,I am into fashion,out_of_domain
482,i am a widow.,i ve broken my arm twice.,"I recently hurt my arm trying to do house work repairs. My husband used to do that kind of work, but he passed away last year.",out_of_domain
483,i am a widow.,i ve broken my arm twice.,"My husband is alive, but it is a miracle because he is the clumsiest person I've ever met.",out_of_domain
485,i love animals.,my follicles look reddened.,"My follicles get red sometime because of allergies, and have bad allergic reactions to my neighbors dogs.",out_of_domain
486,i love animals.,my follicles look reddened.,Unfortunately I am allergic to animals.,out_of_domain
487,i am in my second year of medical school.,i have two children but i am divorced.,Do you have a husband or kids?,out_of_domain
488,i work in a library.,i had cows as pets growing up.,My favorite things to do growing up were milk the cows and go to the library to read about farming.,out_of_domain
489,i work in a library.,i had cows as pets growing up.,"I work in a library now, but I was raised on a farm.  I used to have cows as pets.",out_of_domain
492,roll playing is my favorite hobby.,i can memorize lines.,I like role playing.  I'm good at memorizing lines.,out_of_domain
493,roll playing is my favorite hobby.,i can memorize lines.,I like acting out as roleplaying characters.,out_of_domain
494,on evenings and weekends i enjoy televised sports and cartoons.,i am a fan of the minnesota twins.,In my free time I like to watch the minnesota twins and cartoons.,out_of_domain
495,on evenings and weekends i enjoy televised sports and cartoons.,i am a fan of the minnesota twins.,"If I'm watching sports, baseball is my favorite.",out_of_domain
496,on evenings and weekends i enjoy televised sports and cartoons.,i am a fan of the minnesota twins.,I especially like to watch baseball.,out_of_domain
497,i love to ride bikes.,i have 3 small dogs.,I love to ride bikes with my 3 small dogs in the bike basket.,out_of_domain
498,i love to ride bikes.,i have 3 small dogs.,I get my excercise by walking pets.,out_of_domain
499,i love to ride bikes.,i have 3 small dogs.,I often ride in the park with my three pets.,out_of_domain
502,i am a lumberjack.,i love to fish.,"Must be great working outdoors, are there other things you like doing outdoors?",out_of_domain
503,i like earth.,i like to cook different foods.,I like foods that are just as they came from the earth.,out_of_domain
505,i like earth.,i like to cook different foods.,I like food that grows from the earth.,out_of_domain
506,i am a child.,i enjoy visiting places that have a lot of action.,"People say I'm too childish because I'm always into new and exciting action, but I don't think I'm too childish, I think they're too stuffy.",out_of_domain
507,i am a child.,i enjoy visiting places that have a lot of action.,But I like to be adventurous.,out_of_domain
508,i am a child.,i enjoy visiting places that have a lot of action.,I like to have fun with my parents.,out_of_domain
509,my sibling likes to write.,i used to be very athletic.,My sibling likes to write too.  I was always into sports though.,out_of_domain
510,my sibling likes to write.,i used to be very athletic.,I write too; ever since my accident.,out_of_domain
511,my sibling likes to write.,i used to be very athletic.,My brother prefers sports.,out_of_domain
514,i like puppies.,i like blue.,I like puppies a lot and have one name blue because that’s my favorite color.,out_of_domain
515,i like puppies.,i like blue.,My dog has a blue collar.,out_of_domain
516,i like puppies.,i like blue.,I am trying to decide what color of colar to get my new puppy.,out_of_domain
517,i have three great dogs.,i do not eat meat.,"I love animals, and avoid anything that could harm them.",out_of_domain
518,i have three great dogs.,i do not eat meat.,I like animals a whole lot.,out_of_domain
519,i have three great dogs.,i do not eat meat.,I am a animal lover too.,out_of_domain
520,i have one pet.,i enjoy speaking in different languages.,my pet parakeet speaks in spanish,out_of_domain
521,i have one pet.,i enjoy speaking in different languages.,"I love speaking in different languages, and have heard that pets have their own special language to communicate with owners.",out_of_domain
522,i have one pet.,i enjoy speaking in different languages.,I have poodles I got from French and Italian breeders.,out_of_domain
523,i lift a lot of weights.,i lift a lot at the gym.,I lift at home,out_of_domain
524,i lift a lot of weights.,i lift a lot at the gym.,I'm trying to stay in shape and build muscle.,out_of_domain
525,i lift a lot of weights.,i lift a lot at the gym.,Weight lifting is a favorite hobby of mine.,out_of_domain
526,i am a student.,i have 5 children.,"It's been a while since I was last in school, I'm married now and have five children.",out_of_domain
527,i am a student.,i have 5 children.,Four of my five children are currently in school as students.,out_of_domain
528,i am a student.,i have 5 children.,I attend college as an adult.,out_of_domain
529,i complete school this year.,i wish to join education.,I got my masters in teaching.,out_of_domain
530,i complete school this year.,i wish to join education.,"Completing higher levels of education is a reliable way to earn more money and live a happier life, so I'm determined to do so.",out_of_domain
531,i complete school this year.,i wish to join education.,I am glad I finished college.  Now I have the degree to become a teacher.,out_of_domain
532,i rock out to old tunes.,i am a driver for a local bakery.,I like to dance to oldies when off work from being a driver.,out_of_domain
533,i rock out to old tunes.,i am a driver for a local bakery.,"Yeah I do have my side hobbies too, most of which others do not know of outside my ""normal"" work-life balance.",out_of_domain
534,i rock out to old tunes.,i am a driver for a local bakery.,I like to listen to the radio when I'm driving.  I do deliveries for a bakery.,out_of_domain
535,i dropped out of college.,i am in the army.,"I decided I couldn't afford college, so I went in the army instead.",out_of_domain
536,i dropped out of college.,i am in the army.,I want to be a doctor.,out_of_domain
538,i want to get my own place.,i have zero desire to work.,I can't afford most places I want to live since I am not motivated to work.,out_of_domain
539,i want to get my own place.,i have zero desire to work.,I have to work to have the money to get my own place.,out_of_domain
540,i want to get my own place.,i have zero desire to work.,you will need to get a good job if you want to move from your parents.,out_of_domain
541,i am a musician.,i like to write my own songs.,"I write songs for my musician career,",out_of_domain
542,i am a musician.,i like to write my own songs.,"I want to share my feelings,",out_of_domain
545,i want to get married again.,i m angry at my coworker.,"Not me, I'm married to my work. Unfortunately I'm pissed at my coworker right now.",out_of_domain
546,i am a student.,i like painting,my major is art.,out_of_domain
547,i am a student.,i like painting,My mom has always been into crafting. That's probably why I began to like painting.,out_of_domain
548,i am a student.,i like painting,I love when it thunders.,out_of_domain
549,i like to read horror novels.,i like to go to the lake.,I love to go to the lake and one of my favorite horror movies takes place at the lake.,out_of_domain
550,i like to read horror novels.,i like to go to the lake.,I also enjoy the outdoors.,out_of_domain
552,i live by the ocean.,i have a weird hobby of hunting giant reptiles in remote locations !.,I see a lot of reptiles in the area that I love.,out_of_domain
553,i live by the ocean.,i have a weird hobby of hunting giant reptiles in remote locations !.,i enjoy the water.,out_of_domain
554,i live by the ocean.,i have a weird hobby of hunting giant reptiles in remote locations !.,there are many lizards on the beach,out_of_domain
555,my job requires me to be there three days a week.,the taste of hops and barley is something i could do without.,I go to the pub on my day off.,out_of_domain
557,my job requires me to be there three days a week.,the taste of hops and barley is something i could do without.,"Not too bad then. I think many drink to cope with stressful, unfavorable work conditions in life.",out_of_domain
558,my clothes are usually dark colors.,my vehicle is a dark color.,It's what I chose for everything I buy. Even,out_of_domain
559,my clothes are usually dark colors.,my vehicle is a dark color.,"I noticed you wear a lot of dark colors, also your home has dark colors, what else do you own that is a darker color?",out_of_domain
560,my clothes are usually dark colors.,my vehicle is a dark color.,Dark colors are my favorite colors.,out_of_domain
561,my clothes are usually dark colors.,my vehicle is a dark color.,"I like a lot of bright colors and patterns, even my car is pink!",out_of_domain
562,my clothes are usually dark colors.,my vehicle is a dark color.,Dark colors are my favorite colors,out_of_domain
563,my clothes are usually dark colors.,my vehicle is a dark color.,I like dark colors on everything as well.,out_of_domain
565,my clothes are usually dark colors.,my vehicle is a dark color.,I like bright clothes but dark cars.,out_of_domain
566,my clothes are usually dark colors.,my vehicle is a dark color.,I tend to stick with darker shades as well.,out_of_domain
567,i like my job.,i knit presents for my friends.,I like buying gifts with the money I earn from my job.,out_of_domain
568,i like my job.,i knit presents for my friends.,I make money by knitting.  I give some of my work to my friends.,out_of_domain
569,i like my job.,i knit presents for my friends.,"I quit my job so I could concentrate on my hobbies, like knitting. I like knitting for my friends.",out_of_domain
570,i like to watch foreign television.,i am a grandmother.,Usually I watch television with my family.,out_of_domain
572,i like to watch foreign television.,i am a grandmother.,"Yeah as not all ""good"" media or content must always be ""Americanized"" or etc. My relatives have become a bit too sucked in regarding American politics.",out_of_domain
573,i enjoy books and resting by inland bodies of water on saturdays and sundays.,my job helpe me teach kids.,Sounds enjoyable if it were possible to lounge as such for more days of the week!,out_of_domain
574,i enjoy books and resting by inland bodies of water on saturdays and sundays.,my job helpe me teach kids.,I like teaching kids things I have learned from books.,out_of_domain
575,i enjoy books and resting by inland bodies of water on saturdays and sundays.,my job helpe me teach kids.,I work at a summer camp with kids and teach them how to swim and practice water safety.,out_of_domain
576,i enjoy books and resting by inland bodies of water on saturdays and sundays.,my job helpe me teach kids.,"I enjoy reading as well, my job also requires me to read, because I work with children. What do you do for work?",out_of_domain
577,i enjoy books and resting by inland bodies of water on saturdays and sundays.,my job helpe me teach kids.,I work as a librarian.,out_of_domain
578,i enjoy books and resting by inland bodies of water on saturdays and sundays.,my job helpe me teach kids.,I read by the lake when off work on the weekends.,out_of_domain
579,math is my favorite subject.,i go to high school.,"Great, at what level do you study math?",out_of_domain
580,math is my favorite subject.,i go to high school.,I preferred reading when I was in school. Are you in school currently?,out_of_domain
581,i eat at burger king five times a week.,i jump out of airplanes.,I work off a lot of calories at work.,out_of_domain
582,i eat at burger king five times a week.,i jump out of airplanes.,I ate at burger king before jumping out of the airplane.,out_of_domain
583,i eat at burger king five times a week.,i jump out of airplanes.,"I like doing risky things, but one of the things I never risk is my own health. I'm safer jumping out of airplanes than going to eat at burger king.",out_of_domain
585,i own a vehicle.,i like to exercise before work.,Before I drive to work I like to go for a morning run.,out_of_domain
587,my mother was a cosmetologist.,i work at a business that sells morning drinks.,"My mother never worked, but I have a business selling morning drinks.",out_of_domain
588,my mother was a cosmetologist.,i work at a business that sells morning drinks.,I have a better job.,out_of_domain
589,my mother was a cosmetologist.,i work at a business that sells morning drinks.,"Mine stayed at home, but always encouraged me to have a career.",out_of_domain
590,sometimes i like to visit thrift shops.,i like to sew my own clothing.,"That is a great hobby, I am surprised how many nice homemade items that I can find in thrift shops",out_of_domain
592,sometimes i like to visit thrift shops.,i like to sew my own clothing.,"I like remodeling old stuff, especially on clothing",out_of_domain
593,i enjoy naming my pets random things.,i do not know my parents.,I got my first pet after I graduated from foster care.,out_of_domain
594,i enjoy naming my pets random things.,i do not know my parents.,"My parents like to do that too, they named my childhood dog Twinkle.",out_of_domain
595,i enjoy naming my pets random things.,i do not know my parents.,"I didn't have parents growing up, but I did have pets, and I remember the names of every one of them to this day.",out_of_domain
596,i love to take road trips.,i am a huge fan of dogs.,"me too, i like bringing my dog.",out_of_domain
598,i love to take road trips.,i am a huge fan of dogs.,Me too! I often take my dog with me,out_of_domain
599,seafood is my favorite kind of food.,i own a car.,"Sea food is good, but you can only get good sea food at a market 30 miles away. You need a car to get there.",out_of_domain
600,seafood is my favorite kind of food.,i own a car.,How would you like to go to the beach?,out_of_domain
601,seafood is my favorite kind of food.,i own a car.,I drive 10 miles to my favorite seafood spot.,out_of_domain
602,i have no job.,i love the water.,"I don't work either,  I spend my days at the ocean.",out_of_domain
603,i have no job.,i love the water.,I stay at the beach all day,out_of_domain
604,i have no job.,i love the water.,i want to work as a lifeguard,out_of_domain
605,my family used to live in sydney.,i followed in my the footsteps of my dad and wrote my first novel at 30.,I moved so I could pursue my dreams.,out_of_domain
606,my family used to live in sydney.,i followed in my the footsteps of my dad and wrote my first novel at 30.,My dad wrote about Sydney in his travel diary.,out_of_domain
607,my family used to live in sydney.,i followed in my the footsteps of my dad and wrote my first novel at 30.,My dad wrote a novel about Sydney.,out_of_domain
608,i like to listen to music.,my mother is the greatest chef in the world.,I listen to music all the time.  I usually play it while my mom cooks so she isn't bored.,out_of_domain
609,i like to listen to music.,my mother is the greatest chef in the world.,I like to listen to music with my mom.  She is really a good cook.,out_of_domain
610,i like to listen to music.,my mother is the greatest chef in the world.,I listen to music while cleaning and cooking. My mother taught me to cook - she's a great chef.,out_of_domain
611,i really enjoy doing artistic things.,i am fan of everything from classic rock to rap.,I like writing music.,out_of_domain
612,i really enjoy doing artistic things.,i am fan of everything from classic rock to rap.,I make songs in my spare time.,out_of_domain
614,cooking is my passion !.,i do not like fighting online.,I am a cooker not a fighter.,out_of_domain
615,cooking is my passion !.,i do not like fighting online.,I guess technology is mine.  Though you sure meet some awful people online.,out_of_domain
616,cooking is my passion !.,i do not like fighting online.,I am part of a cooking message board online.,out_of_domain
619,i am a musician.,i like to play video games.,I have other interests besides music.,out_of_domain
620,i am a musician.,i like to play video games.,I have a lot of free time.,out_of_domain
624,dad gave me a toy vehicle.," sadly , my kitten fluffy passed away suddenly.",one time I got a cat for christmas,out_of_domain
625,dad gave me a toy vehicle.," sadly , my kitten fluffy passed away suddenly.",My dad gave me a toy once.  It was after my kitten passed away suddenly.,out_of_domain
626,i participate in a sport using a racket and ball.,i love my two siblings.,I play tennis with my brother and sister.  I love them very much.,out_of_domain
627,i participate in a sport using a racket and ball.,i love my two siblings.,I wish I was skilled in tennis.  I admire Venus and Serena.,out_of_domain
628,i participate in a sport using a racket and ball.,i love my two siblings.,my brother used to be a professional badminton player,out_of_domain
631,i love to play tennis.,i work as a lifeguard.,Is it your job?,out_of_domain
632,i have hit alot of attractions.,i like to walk through nature.,I have been able to hit a lot of attractions because I love to walk through nature.,out_of_domain
633,i have hit alot of attractions.,i like to walk through nature.,I like to vacation in the mountains to see the attractions and to see the beauty of the parks.,out_of_domain
634,i have hit alot of attractions.,i like to walk through nature.,My favorite attractions are National Parks.,out_of_domain
635,i am good at beach sports.,i enjoy the fashion and beauty industries.,I love the fashion that people wear at the beach.,out_of_domain
637,i am good at beach sports.,i enjoy the fashion and beauty industries.,The fashion and beauty industries have come a long way when it comes to designing beachware for sports.,out_of_domain
638,i am good at beach sports.,i enjoy the fashion and beauty industries.,I've done great on my beach volleyball team during the summer which helps me observe new trends coming out in both the fashion and beauty industries.,out_of_domain
639,i am good at beach sports.,i enjoy the fashion and beauty industries.,I love watching professional beach volleyball and my girlfriend always picks up great bathing suit ideas from the players!,out_of_domain
640,i really do not enjoy preparing food for myself.,i like playing x box.,I prefer playing video games instead,out_of_domain
641,i really do not enjoy preparing food for myself.,i like playing x box.,But I often play x box for so long that I don't have any time to cook food for myself and have to order delivery.,out_of_domain
642,i really do not enjoy preparing food for myself.,i like playing x box.,"Most of my meals are frozen foods that I heat up in the microwave, so I have more time to play video games. I like playing X Box.",out_of_domain
643,i love to go hiking.,i have never been out of the country.,"I do as well, I went hiking in the countryside of France over the summer, it was wonderful!",out_of_domain
645,i love to go hiking.,i have never been out of the country.,I like to travel to different parts of the country and go hiking.,out_of_domain
646,i want to help people.,i care about others.,i would like to work at a homeless shelter,out_of_domain
649,i really like to look at paintings and statues.,i am in charge of my dad and moms company.,My dad and mom's company is an art exhibition showing paintings and statues.,out_of_domain
650,i really like to look at paintings and statues.,i am in charge of my dad and moms company.,I always liked art.  I buy nice pieces from the money that I make managing my parents' company.,out_of_domain
651,i really like to look at paintings and statues.,i am in charge of my dad and moms company.,I used to own an art gallery.,out_of_domain
652,i work at a salon.,i hate throwing out plastic.,I work at a green salon.  I don't like wasting plastic.,out_of_domain
653,i work at a salon.,i hate throwing out plastic.,"I couldn't handle all of the chemicals used there, though I tend to be fanatical about that, according to some.",out_of_domain
654,i work at a salon.,i hate throwing out plastic.,The salon I go to is always throwing out their plastic products and it annoys me.,out_of_domain
655,i care about the environment.,females from other countries are pretty.,I've noticed that women from countries with the cleanest air and most pristine environment tend to be the msot beautiful.,out_of_domain
657,i care about the environment.,females from other countries are pretty.,Last year I went to an environmental symposium in europe and met a lot of attractive women.,out_of_domain
658,i participate in a sport using a racket and ball.,i am married to a lecturer at the university of maryland.,My husband is tennis player and educator.  I am married to a lecturer at the University of Maryland.,out_of_domain
659,i participate in a sport using a racket and ball.,i am married to a lecturer at the university of maryland.,I play next to a college.,out_of_domain
660,i participate in a sport using a racket and ball.,i am married to a lecturer at the university of maryland.,On weekends my wife and I go out onto the courts to play racketball.,out_of_domain
661,music comes easy to me.,i have not told my family that i am interested in the same sex.,Music gives me peace.  It's hard when you haven't told your family that you are gay.,out_of_domain
662,music comes easy to me.,i have not told my family that i am interested in the same sex.,I was in a band for a while. It's how I met my boyfriend.,out_of_domain
663,music comes easy to me.,i have not told my family that i am interested in the same sex.,There are many gay musicians right now.,out_of_domain
664,my dad was a police officer.,i drive a rig.,I did not follow in my dad's footsteps.,out_of_domain
665,my dad was a police officer.,i drive a rig.,"Jobs involving driving are not my forte really, but some people do like that.",out_of_domain
666,my dad was a police officer.,i drive a rig.,"I used to work in law enforcement, but the job was too dangerous and I changed over to becoming a rig trucker.",out_of_domain
667,my work is in leadership at safeway.,i would love to be a professional.,I recently got a new job as an executive.,out_of_domain
669,my work is in leadership at safeway.,i would love to be a professional.,I'm applying to local grocery stores for a managerial position.,out_of_domain
671,i love to travel.,i work as a freight truck driver.,I get to travel all over because of my job.,out_of_domain
672,i love to travel.,i work as a freight truck driver.,My job lets me see many different places.,out_of_domain
673,i like sports.,my favorite team is the raptors.,I only started really liking sports because of the raptors. I live next door to their star player and he's a very nice guy.,out_of_domain
674,i like sports.,my favorite team is the raptors.,I have always like sports.  I like going to Raptors' games.,out_of_domain
676,i enjoy hearing others stories.,i have a medical condition that is made worse by the cold weather in my state.,"If you like stories, I have a lot of stories about my skiing vacations.",out_of_domain
677,i enjoy hearing others stories.,i have a medical condition that is made worse by the cold weather in my state.,I like to hear about different medical issues.,out_of_domain
678,i enjoy hearing others stories.,i have a medical condition that is made worse by the cold weather in my state.,People who have to stay at the hospital usually have interesting stories.,out_of_domain
679,i like catching sharks.,dad will not let me buy apple products since he worked for their competitor.,My dad hates apple products so much that he takes their products out to the ocean and throws them in the water with the sharks.,out_of_domain
680,i like catching sharks.,dad will not let me buy apple products since he worked for their competitor.,That sounds dangerous which is why I stick to photographing sharks with anything but apple products.,out_of_domain
681,i like catching sharks.,dad will not let me buy apple products since he worked for their competitor.,I like to record my adventures on my phone.,out_of_domain
682,i win a lot at the casino.,i want to learn how to manage a place in vegas.,"I love gambling, and want a career in casino management.",out_of_domain
683,i win a lot at the casino.,i want to learn how to manage a place in vegas.,I love going to Vegas,out_of_domain
684,i win a lot at the casino.,i want to learn how to manage a place in vegas.,"That's cool, I never win at the Casino, so I try not to go. Do you still want to move to Vegas?",out_of_domain
685,i like to test my voice while i clean off.,i have a masters of business.,I have to check my voice because I give many business presentations.,out_of_domain
686,i like to test my voice while i clean off.,i have a masters of business.,"I wanted to sing, but I had to go to college.",out_of_domain
687,i like to test my voice while i clean off.,i have a masters of business.,"I can't sing in tune to save my life, but I could sell an icecube to a snowman.",out_of_domain
690,i really enjoy doing vocals with the band.,i just left my teens.,I'm older so i stopped.,out_of_domain
692,i love to redesign houses.,i like to spend time with my kids.,Home design is my passion along with my kids activities.,out_of_domain
693,i love to redesign houses.,i like to spend time with my kids.,"I like the idea of it, but I guess I would rather do other things than that with others/socially more.",out_of_domain
694,i love to redesign houses.,i like to spend time with my kids.,When I am not redesigning houses I like to be with my kids.,out_of_domain
696,i love to redesign houses.,i like to spend time with my kids.,"I would love to redesign houses, but that would take away time from my friends.",out_of_domain
